District,State,Area_km2,Population
Bankura,West Bengal,"6,882","35,96,674"
Barddhaman,West Bengal,"7,024","77,17,563"
Birbhum,West Bengal,"4,545","35,02,404"
Dakshin Dinajpur,West Bengal,"2,219","16,76,276"
Darjiling,West Bengal,"3,149","18,46,823"
Haora,West Bengal,"1,467","48,50,029"
Hugli,West Bengal,"3,149","55,19,145"
Jalpaiguri,West Bengal,"6,227","38,72,846"
Koch Bihar,West Bengal,"3,387","28,19,086"
Kolkata,West Bengal,185,"44,96,694"
Maldah,West Bengal,"3,733","39,88,845"
Murshidabad,West Bengal,"5,324","71,03,807"
Nadia,West Bengal,"3,927","51,67,600"
North Twenty Four Parganas,West Bengal,"4,094","1,00,09,781"
Paschim Medinipur,West Bengal,"9,368","59,13,457"
Purba Medinipur,West Bengal,"4,713","50,95,875"
Puruliya,West Bengal,"6,259","29,30,115"
South Twenty Four Parganas,West Bengal,"9,960","81,61,961"
Uttar Dinajpur,West Bengal,"3,140","30,07,134"
Almora,Uttarakhand,"3,144","6,22,506"
Bageshwar,Uttarakhand,"2,241","2,59,898"
Chamoli,Uttarakhand,"8,030","3,91,605"
Champawat,Uttarakhand,"1,766","2,59,648"
Dehradun,Uttarakhand,"3,088","16,96,694"
Haridwar,Uttarakhand,"2,360","18,90,422"
Nainital,Uttarakhand,"4,251","9,54,605"
Pauri Garhwal,Uttarakhand,"5,329","6,87,271"
Pithoragarh,Uttarakhand,"7,090","4,83,439"
Rudraprayag,Uttarakhand,"1,984","2,42,285"
Tehri Garhwal,Uttarakhand,"3,642","6,18,931"
Udham Singh Nagar,Uttarakhand,"2,542","16,48,902"
Uttarkashi,Uttarakhand,"8,016","3,30,086"
Agra,Uttar Pradesh,"4,041","44,18,797"
Aligarh,Uttar Pradesh,"3,650","36,73,889"
Allahabad,Uttar Pradesh,"5,482","59,54,391"
Ambedkar Nagar,Uttar Pradesh,"2,350","23,97,888"
Auraiya,Uttar Pradesh,"2,016","13,79,545"
Azamgarh,Uttar Pradesh,"4,054","46,13,913"
Baghpat,Uttar Pradesh,"1,321","13,03,048"
Bahraich,Uttar Pradesh,"5,237","34,87,731"
Ballia,Uttar Pradesh,"2,981","32,39,774"
Balrampur,Uttar Pradesh,"3,349","21,48,665"
Banda,Uttar Pradesh,"4,408","17,99,410"
Barabanki,Uttar Pradesh,"4,402","32,60,699"
Bareilly,Uttar Pradesh,"4,120","44,48,359"
Basti,Uttar Pradesh,"2,688","24,64,464"
Bijnor,Uttar Pradesh,"4,561","36,82,713"
Budaun,Uttar Pradesh,"5,168","36,81,896"
Bulandshahar,Uttar Pradesh,"4,512","34,99,171"
Chandauli,Uttar Pradesh,"2,541","19,52,756"
Chitrakoot,Uttar Pradesh,"3,216","9,91,730"
Deoria,Uttar Pradesh,"2,540","31,00,946"
Etah,Uttar Pradesh,"2,431","17,74,480"
Etawah,Uttar Pradesh,"2,311","15,81,810"
Faizabad,Uttar Pradesh,"2,341","24,70,996"
Farrukhabad,Uttar Pradesh,"2,181","18,85,204"
Fatehpur,Uttar Pradesh,"4,152","26,32,733"
Firozabad,Uttar Pradesh,"2,407","24,98,156"
Gautam Buddha Nagar,Uttar Pradesh,"1,282","16,48,115"
Ghaziabad,Uttar Pradesh,"1,179","46,81,645"
Ghazipur,Uttar Pradesh,"3,377","36,20,268"
Gonda,Uttar Pradesh,"4,003","34,33,919"
