"district","state","Population","Area","Growth","Literacy","Sex_Ratio","Literate","Illiterate","Male","Female","Prev_Population"
"Nicobars","Andaman And Nicobar Islands",36842,1841,-12.42,78.06,777,28759,8083,20733,16109,42067
"North And Middle Andaman","Andaman And Nicobar Islands",105597,3736,-0.02,83.91,925,88606,16991,54856,50741,105618
"South Andaman","Andaman And Nicobar Islands",238142,2672,14.23,89.13,871,212256,25886,127281,110861,208476
"Rangareddy","Andhra Pradesh",5296741,7493,48.16,75.87,961,4018637,1278104,2701041,2595700,3575014
"Medak","Andhra Pradesh",3033288,9699,13.6,61.42,992,1863045,1170243,1522735,1510553,2670148
"Nizamabad","Andhra Pradesh",2551335,7956,8.77,61.25,1040,1562693,988642,1250654,1300681,2345624
"Srikakulam","Andhra Pradesh",2703114,5837,6.52,61.74,1015,1668903,1034211,1341496,1361618,2537659
"Adilabad","Andhra Pradesh",2741239,16105,10.18,61.01,1001,1672430,1068809,1369935,1371304,2487964
"West Godavari","Andhra Pradesh",3936966,7742,3.51,74.63,1004,2938158,998808,1964554,1972412,3803464
"Khammam","Andhra Pradesh",2797370,16029,8.47,64.81,1011,1812975,984395,1391034,1406336,2578934
"Krishna","Andhra Pradesh",4517398,8727,7.87,73.74,992,3331129,1186269,2267770,2249628,4187817
"Hyderabad","Andhra Pradesh",3943323,217,2.97,83.25,954,3282816,660507,2018077,1925246,3829584
"Mahbubnagar","Andhra Pradesh",4053028,18432,15.34,55.04,977,2230787,1822241,2050090,2002938,3513983
"Kurnool","Andhra Pradesh",4053463,17658,14.85,59.97,988,2430862,1622601,2038965,2014498,3529354
"Karimnagar","Andhra Pradesh",3776269,11823,8.15,64.15,1008,2422477,1353792,1880612,1895657,3491696
"Anantapur","Andhra Pradesh",4081148,19130,12.1,63.57,977,2594386,1486762,2064314,2016834,3640632
"Chittoor","Andhra Pradesh",4174064,15152,11.43,71.53,997,2985708,1188356,2090167,2083897,3745907
"Visakhapatnam","Andhra Pradesh",4290589,11161,11.96,66.91,1006,2870833,1419756,2138878,2151711,3832252
"Warangal","Andhra Pradesh",3512576,12846,8.21,65.11,997,2287038,1225538,1758926,1753650,3246073
"East Godavari","Andhra Pradesh",5154296,10807,5.16,70.99,1006,3659035,1495261,2569440,2584856,4901385
"Sri Potti Sriramulu Nellore","Andhra Pradesh",2963557,13076,11.05,68.9,985,2041891,921666,1492976,1470581,2668669
"Vizianagaram","Andhra Pradesh",2344474,6539,4.23,58.89,1019,1380661,963813,1161206,1183268,2249327
"Guntur","Andhra Pradesh",4887813,11391,9.47,67.4,1003,3294386,1593427,2440246,2447567,4464979
"YSR","Andhra Pradesh",2882469,15359,10.79,67.3,985,1939902,942567,1452125,1430344,2601741
"Prakasam","Andhra Pradesh",3397448,17626,11.05,63.08,981,2143110,1254338,1715017,1682431,3059386
"Nalgonda","Andhra Pradesh",3488809,14240,7.41,64.2,983,2239815,1248994,1759359,1729450,3248123
"Upper Subansiri","Arunachal Pradesh",83448,7032,50.78,63.8,998,53240,30208,41766,41682,55344
"Kurung Kumey","Arunachal Pradesh",92076,6040,116.56,48.75,1032,44887,47189,45313,46763,42518
"West Kameng","Arunachal Pradesh",83947,7422,12.53,67.07,819,56303,27644,46150,37797,74600
"East Siang","Arunachal Pradesh",99214,3603,13.52,72.54,980,71970,27244,50108,49106,87398
"Tirap","Arunachal Pradesh",111975,2362,11.61,52.19,944,58440,53535,57600,54375,100327
"West Siang","Arunachal Pradesh",112274,8325,8.04,66.46,930,74617,37657,58173,54101,103919
"Lohit","Arunachal Pradesh",145726,5212,16.59,68.18,912,99356,46370,76217,69509,124990
"Anjaw","Arunachal Pradesh",21167,6190,14.19,56.46,839,11951,9216,11510,9657,18537
"Dibang Valley","Arunachal Pradesh",8004,9129,10.07,64.1,813,5131,2873,4415,3589,7272
"Papumpare","Arunachal Pradesh",176573,3462,44.73,79.95,980,141170,35403,89178,87395,122002
"Tawang","Arunachal Pradesh",49977,2172,28.4,59.0,714,29486,20491,29158,20819,38923
"Upper Siang","Arunachal Pradesh",35320,6590,5.87,59.99,889,21188,14132,18698,16622,33362
"Lower Dibang Valley","Arunachal Pradesh",54080,3900,7.2,69.13,928,37386,16694,28050,26030,50448
